,Id,Link,Name,number of rating,C discount,Free delivery ls,Price in Euro
0,ROW3121047260800,https://www.cdiscount.com/bricolage/climatisation/rowenta-pu6080f0-intense-pure-air-connect-xl-purif/f-166130303-row3121047260800.html?idOffre=1833462065#mpos=0|mp,"ROWENTA PU6080F0 Intense Pure Air Connect XL Purificateur d'air, Filtre jusqu'à 100% des allergènes + particules fines, Connectivité",7,False,False,27000
1,AUC8087008083107,https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-pour-bureau-domicile-rovacs-rv3/f-166130303-auc8087008083107.html#mpos=0|mp,"Purificateur d'air pour bureau/domicile ROVACS RV320 avec Filtres H13 HEPA, Purification de l'air à haute efficacité avec Télécomman",1,False,False,4999
2,ROW3121040081280,https://www.cdiscount.com/bricolage/climatisation/rowenta-traitement-de-l-air-purificateur-d-air-ve/f-166130303-row3121040081280.html?idOffre=1246754827#mpos=0|mp,"ROWENTA QU5030F0 Eclipse Purificateur ventilateur 2 en 1, 12 vitesses, Rafraîchissement intense, Silencieux, Multi-oscillations",6,False,False,24999
3,OCEARPUR45,https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-generateur-d-ions-negatifs-oc/f-166130303-ocearpur45.html#mpos=0|cd,Purificateur d'air - Générateur d'ions négatifs OCEANIC - 45W - Filtre HEPA - Affichage digital - Télécommande,7,False,False,6299
4,DYS5025155034347,https://www.cdiscount.com/electromenager/op/dyson-dp04-pure-cool-purificateur-et-ventilateur-d/f-110280104-dys5025155034347.html#mpos=0|mp,DYSON DP04 Pure Cool Purificateur et Ventilateur de table Blanc/Argent,6,False,False,35500
5,AUC3770016329583,https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-4-en-1-ventile-chauffe-pu/f-166130303-auc3770016329583.html?idOffre=2001094628#mpos=0|mp,"Purificateur d'air - 4 en 1 : Ventile, chauffe, purifie, ionise - IGIRI",0,False,False,25490
6,ROV8260128929580,https://www.cdiscount.com/bricolage/climatisation/rovacs-purificateur-d-air-filtre-h13-true-hepa-el/f-166130303-rov8260128929580.html#mpos=0|mp,"ROVACS Purificateur d'Air，Filtre H13 True HEPA, Elimine 99,97 % , 28 dB Mode Veille Silencieux Jusqu'à 40 m², CADR 340 m³/h",4,False,False,4999
7,AUC8711551040170,https://www.cdiscount.com/bricolage/climatisation/rovacs-purificateur-d-air-filtre-hepa-pour-grande/f-166130303-auc8711551040170.html#mpos=0|mp,"ROVACS Purificateur d’air, Filtre HEPA pour grandes pièces jusqu’à 710 pieds carrés, 99,97% purification,ventilateur à 5 vitesses",2,False,False,18999
8,DYS5025155034347,https://comeonplace.com/fr/produitssponsorises,DYSON DP04 Pure Cool Purificateur et Ventilateur de table Blanc/Argent,6,False,False,35500
9,AIR3583474098584,https://comeonplace.com/fr/produitssponsorises,Purificateur d'air Airton-Générateur de d'ions plasma - 36W,0,False,False,16900
10,AUC8087008083107,https://comeonplace.com/fr/produitssponsorises,"Purificateur d'air pour bureau/domicile ROVACS RV320 avec Filtres H13 HEPA, Purification de l'air à haute efficacité avec Télécomman",1,False,False,4999
11,PRO6924843204064,https://www.cdiscount.com/bricolage/climatisation/proscenic-a8-purificateur-d-air-silencieux-avec/f-166130303-pro6924843204064.html#mpos=0|mp,"PROSCENIC A8 - Purificateur d'air silencieux avec Filtre HEPA H13 - Haute Efficacité - Idéal contre Poussière, Pollen et Gaz Nocifs",12,False,False,6900
12,AUC7084777568201,https://www.cdiscount.com/bricolage/climatisation/purificateur-d-air-rovacs-pour-la-maison-veritabl/f-166130303-auc7084777568201.html?idOffre=1253610685#mpos=0|mp,"Purificateur d'air ROVACS pour la maison, véritable filtre HEPA pour grandes pièces jusqu'à 710 pieds carrés, 99,97% purificateur d'",18,False,False,6999
13,PRO5060596020412,https://www.cdiscount.com/bricolage/climatisation/pro-breeze-mini-purificateur-d-air-3-en-1-ionise/f-166130303-pro5060596020412.html?idOffre=1415236372#mpos=0|mp,"Pro Breeze Mini Purificateur d’Air 3-en-1 - Ioniseur d’air avec Filtre True HEPA, USB et Alimentation secteur",2,False,False,2949
